0, 0, 357, 96
0, 96, 134, 210
0, 364, 118, 641
118, 556, 246, 641
0, 506, 421, 528
427, 506, 630, 528
612, 317, 630, 528
650, 317, 768, 641
650, 177, 768, 287
602, 115, 768, 177
620, 0, 768, 115
460, 0, 768, 80
331, 0, 357, 195
395, 0, 419, 128
419, 0, 460, 38
522, 556, 768, 641
460, 0, 479, 140
175, 269, 202, 275
405, 300, 442, 308
519, 332, 612, 340
134, 124, 357, 195
202, 226, 326, 288
315, 244, 405, 320
442, 267, 499, 349
509, 267, 566, 349
499, 267, 509, 347
442, 130, 566, 193
186, 370, 262, 465
330, 405, 582, 464
539, 193, 566, 267
426, 323, 442, 349
314, 394, 330, 414
166, 394, 186, 465
300, 556, 470, 641
428, 393, 502, 420
0, 210, 134, 320
202, 193, 222, 226
202, 287, 222, 370
118, 394, 166, 414
331, 193, 351, 244
202, 287, 222, 370
118, 394, 166, 414
357, 25, 395, 45
202, 287, 222, 370
118, 394, 166, 414
357, 25, 395, 45
314, 315, 334, 396
262, 397, 314, 414
118, 394, 166, 414
357, 25, 395, 45
426, 348, 446, 394
262, 397, 314, 414
118, 394, 166, 414
357, 25, 395, 45
262, 397, 314, 414
118, 394, 166, 414
582, 426, 612, 446
357, 25, 395, 45
331, 464, 351, 506
582, 426, 612, 446
357, 25, 395, 45
403, 464, 423, 506
582, 426, 612, 446
357, 25, 395, 45
409, 492, 433, 510
0, 210, 15, 320
50, 210, 134, 320
