0, 0, 20, 208
20, 0, 28, 192
28, 0, 134, 208
0, 250, 134, 326
0, 364, 118, 641
118, 556, 246, 641
0, 506, 421, 528
427, 506, 630, 528
612, 317, 630, 528
650, 317, 768, 641
650, 177, 768, 287
602, 115, 768, 177
620, 0, 768, 115
460, 0, 768, 80
331, 0, 357, 195
0, 0, 357, 96
395, 0, 419, 128
419, 0, 460, 38
522, 556, 768, 641
460, 0, 479, 140
170, 258, 202, 275
405, 290, 442, 308
509, 322, 612, 340
134, 124, 164, 195
172, 124, 276, 195
284, 124, 357, 195
164, 135, 284, 177
202, 226, 244, 288
252, 226, 326, 288
244, 226, 252, 273
315, 244, 355, 320
363, 244, 405, 320
355, 244, 363, 305
442, 267, 499, 349
509, 267, 566, 349
499, 267, 509, 338
442, 130, 483, 193
492, 130, 566, 193
483, 130, 492, 180
186, 370, 210, 465
241, 370, 262, 465
210, 370, 241, 455
330, 402, 372, 464
380, 405, 467, 464
475, 405, 582, 464
372, 405, 475, 454
539, 193, 566, 267
426, 323, 442, 349
314, 394, 330, 414
166, 394, 186, 465
300, 556, 470, 641
428, 393, 502, 420
